PID,TdValue,Smiles
P010001,382.5,*C*
P010002,394.6125,*C(C*)C
P020001,331.8933333,*C(C*)c1ccccc1
P020041,318,*C(C*)c1ccc(cc1)C
P020108,368,*C(C*)c1ccc(cc1)F
P020190,325,*C(C*)c1ccncc1
P030010,212,*C(C*)C#N
P030187,357,*C1c2c(CC1*)cccc2
P030198,390,*C(=C(*)C)[Si](C)(C)C
P040001,425,*C(C*)C(=O)O
P040006,327.5,*C(C*)C(=O)OCCCC
P040010,241,*C(C*)C(=O)OC(C)(C)C
P040048,269.575,*C(C*)(C(=O)OC)C
P040049,231.6666667,*C(C*)(C(=O)OCC)C
P040050,246,*C(C*)(C(=O)OCCC)C
P040051,217,*C(C*)(C(=O)OC(C)C)C
P040052,179,*C(C*)(C(=O)OCCCC)C
P040053,223,*C(C*)(C(=O)OC(CC)C)C
P040054,166,*C(C*)(C(=O)OCC(C)C)C
P040055,224,*C(C*)(C(=O)OC(C)(C)C)C
P040071,242,*C(C*)(C(=O)Oc1ccccc1)C
P040102,286,*C(C*)(C(=O)OCCO)C
P040112,159.1,*C(C*)(C(=O)OCCN(C)C)C
P040228,285,*C(C*)(C(=O)OCCCCC)C
P040300,291,*C(C*)(C(=O)N)C
P040350,323,*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)c1ccc(cc1)OC)C
P044514,280,*C(C*)(C(=O)OCC#C)C
P050002,240.6666667,*C(C*)Cl
P050006,522.5571429,*C(*)(F)F
P070013,310.81,*OCC*
P070032,310,*OC(C*)c1ccccc1
P070076,430,*Oc1c(cc(cc1C)*)C
P070079,350,*Oc1c(cc(cc1OC)*)OC
P070229,316,*Oc1ccc(cc1)C(=O)NCC(CCCNC(=O)c1ccc(cc1)*)(C)C
P070231,427,*Oc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*
P070232,460,*Oc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)*
P070316,500.5,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*
P070317,483.4,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C
P070462,300,*c1oc2c(n1)ccc(c2)c1ccc2c(oc(n2)CCCCCCCC*)c1
P070466,572.325,*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*
P070467,501,*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)(C)C
P070468,521,*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F
P070480,523,*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)*
P070481,494,*Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*
P070574,340,*Oc1cc(ccc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*
P070575,370,*Oc1ccc(cc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*
P070576,370,*Oc1cc(ccc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*
P070577,340,*Oc1ccc(cc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*
P070578,360,*Oc1cc(ccc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*
P070579,370,*Oc1ccc(cc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*
P070580,200,*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC
P070581,190,*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC
P070582,280,*Oc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)Oc1c(cc(cc1)C=Nc1ccc(cc1)*)OC)OC
P070583,340,*Oc1cc(ccc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*
P070584,340,*Oc1ccc(cc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*
P070585,370,*Oc1cc(ccc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*
P070586,370,*Oc1ccc(cc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*
P070587,360,*Oc1cc(ccc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*
P070588,340,*Oc1ccc(cc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*
P070589,360,*Oc1cc(ccc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*
P070590,360,*Oc1ccc(cc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*
P070601,630,*c1nc2c(c(c1)c1ccccc1)cc(cc2)Oc1cc2c(nc(cc2c2ccccc2)c2ccc(cc2)Oc2ccc(cc2)*)cc1
P070623,340,*OC(COC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(*)(F)F)(F)F)(F)F)(F)F)(F)F
P070624,380,*OC(COC(=O)c1cc(ccc1)C(=O)OCC(*)(F)F)(F)F
P070625,380,*OC(COC(=O)c1cc(cc(c1)OCCCCC)C(=O)OCC(*)(F)F)(F)F
P070687,300,*c1sc(c(c1OCCCC)OCCCC)C=C*
P070688,491,*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*)(C)C
P070689,523,*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F
P070690,500,*Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*
P070691,493,*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1c(cccc1)c1c(cccc1)C(=O)c1ccc(cc1)*
P070692,475,*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C)C(=O)c1ccccc1
P070693,500,*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F)C(=O)c1ccccc1
P070694,473,*Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)Oc1ccc(cc1)c1ccc(cc1)*)C(=O)c1ccccc1
P070695,462,*Oc1ccc(cc1)Oc1cc(c(cc1)C(=O)c1ccccc1)c1c(ccc(c1)*)C(=O)c1ccccc1
P070720,393.8,*c1sc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)*)(C)C
P070727,493,*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2
