Smiles,Tg
*C1COC2C1OCC2Oc1ccc(cc1)CNC(=O)CCCCCCC(=O)NCc1ccc(cc1)O*,21.58173134
*OC(CCC(OC(=O)Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)*)C)C,63.5893379
*OC(=O)c1ccc(cc1)C(=O)OCCCC(=O)NCc1ccc(cc1)CNC(=O)CCC*,53.55726117
*OC(=O)NCCNC(=O)OCC*,5.896093021
*SCCCCC*,-55.37860961
*Oc1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)OCCCCCC*,64.73496741
*c1[nH]c(cc1CC(=O)OCCCCCCCC)*,-4.076963699
*C(C*)(CC(=O)OCCCCCCCCCC)C(=O)OCCCCCCCCCC,75.04044311
*OCC1C(C1)C*,-28.98581149
*N(C(=O)CCCCCCCCCCCCCCCCC(=O)N(CCCCCC*)C)C,49.34222836
*O[Si](*)(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C,-68.87734458
*S(=O)(=O)c1ccc(cc1)C(=O)CNc1ccc(cc1)NCC(=O)c1ccc(cc1)*,198.9026743
*S(=O)(=O)c1ccc(cc1)C(=O)NCCNC(=O)c1ccc(cc1)*,205.0712987
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)CCCCC)cc1,204.7640603
*NC(=O)C(=O)NCCCCCCCCCCNC(=O)CCCCCCCCC(=O)NCCCCCCCCCC*,82.2677155
*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCCCCCCCCCCC*,17.27783213
*Oc1ccc(cc1)C(=O)Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*,88.16409459
*Oc1ccc(cc1)SSCCCCSSc1ccc(cc1)*,102.260186
*Oc1ccc(cc1)C(=O)Nc1c(cc(cc1)c1cc(c(cc1)NC(=O)c1ccc(cc1)OCCCCCC*)Cl)Cl,133.9866306
*c1c(cc(c(c1)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C)C=C*)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C,2.868925186
*c1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)C(=O)CCCCC(=O)*)CC1,197.4539358
*SC(=O)CCCCC(=O)SCc1ccc(cc1)c1ccc(cc1)C*,-14.32353196
*C(C*)(C(=O)OCCNC(=O)N(CC(C(C(OC1OC(C(C(C1O)O)O)CO)C(CO)O)O)O)CCCCCC)C,23.2402228
*Oc1ccc(cc1)OC(=O)c1cc(cc(c1)NC(=O)c1ccc(cc1)NC(=O)C(N1C(=O)c2c(C1=O)cccc2)C)C(=O)*,58.7319127
*OC(=O)Nc1ccc(cc1)C(=O)OCC1CCC(CC1)C*,148.8519878
*Nc1c(cccc1)NC(=O)c1ccc(cc1)C(=O)*,231.8080905
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCCCC)C,14.67015775
*Oc1ccc(cc1)S(=O)(=O)c1c2c(ccc1)c(ccc2)S(=O)(=O)c1ccc(cc1)Oc1c(cc(c(c1C)C)c1c(c(c(c(c1)C)*)C)C)C,300.6954413
*OC(=O)NC1CCC(CC1)CC1CCC(CC1)NC(=O)OCC(C*)(C)C,15.9792949
*OC(=O)NCCCCCC(=O)OCCCC*,47.28425166
*N(c1c(cc(cc1)Cc1cc(c(cc1)N(C(=O)c1ccc(cc1)C(=O)*)CCC)C)C)CCC,179.9023847
*Nc1ccc(cc1)NC(=O)c1cc(cc(c1)NC(=O)C(CCSC)N1C(=O)c2c(C1=O)cccc2)C(=O)*,230.3191562
*N(c1c(cc(cc1)Cc1cc(c(cc1)N(C(=O)c1ccc(cc1)C(=O)*)C)C)C)C,167.9642319
*OC(=O)CCCCCCC(=O)OCCc1ccc(cc1)N1ON1c1ccc(cc1)CC*,17.91289325
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C(F)(F)F)C(F)(F)F,150.9011854
*c1ccc2[nH]c3c(c2c1)cc(cc3)*,246.5898577
*C(C*)C(=O)NCCCC,-84.72234668
