Smiles,Tg
C(CCC[*])CCC=C[*],-23
C(CCC[*])CC(C=C[*])C,-58
C(C(CC[*])C1=CC=CC=C1)C(CC=C[*])C,-4
C(C(CC[*])C1=CC=CC=C1)C(CC=C[*])C2=CC=CC=C2,39
C(CCC[*])(CCC=C[*])CCCCCC,-79
C(CCC=CC(CC[*])C1=CC=CC=C1)[*],-21
C(CCC=CC(CC[*])CCCCCC)[*],-71
C(CCC=CC(CC[*])CC)[*],-57
C(CCC=CC(CC[*])C)[*],-67
C(CCC[*])(CCC=C[*])SCC(C)C,-26
C(CCC[*])(CCC=C[*])Br,-54
C(CCC[*])(CCC=C[*])Cl,-35
C(C(CC[*])C(Cl)Cl)(CCC=C[*])C(Cl)Cl,-21
C(CCC[*])(CCC=C[*])C(OCCCCCCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)CN)=O,-5
C(CCC[*])(CCC=C[*])C#N,27
C(C(CC[*])C#N)(CCC=C[*])C#N,3.4
C(CCC[*])(CCC=C[*])O,10
C(CCC[*])(CCC=C[*])=O,-58
C(CCC[*])(CCC=C[*])C(OC1=CC=C(C=C1)C(F)(F)F)=O,-7
C(CCC[*])(CCC=C[*])OC=O,-41
C(CCC[*])C(CC=C[*])OC=O,-40
C(CCC[*])CC(C=C[*])OC=O,-33
C(CCC[*])(CC(C=C[*])OC=O)C,-21
C(CCC[*])(CC(C=C[*])OC=O)C1=CC=CC=C1,10
C(CCC[*])C(C(C=C[*])C)OC=O,-22
C(CCC[*])C(C(C=C[*])C1=CC=CC=C1)OC=O,25
C(C(CC[*])C)C(CC=C[*])OC=O,-26
C(C(CC[*])C1=CC=CC=C1)C(CC=C[*])OC=O,6
C1(CCC[*])C(CC=C[*])OC(O1)(C)C,-10
C1(CCC[*])C(CCC[*])OC(O1)(C)C,-8
C(CCC[*])(C(CCC[*])O)O,42
C(CCC[*])(CCC=C[*])B(CC)CC,11
C(CCC[*])(CCC=C[*])O,45
C(=CCC[C@H]1[C@@H](CC1)CC[*])[*],-55
C(=CCC[C@H]1[C@@H]([C@H]([C@H]1OC)OC)CC[*])[*],-34
C(=CCC[C@@H]1CCC[C@H]1CC[*])[*],-31
C(=CCC[C@H]1[C@@H]([C@H]([C@H]1C(OCCCC)=O)C(OCCCC)=O)CC[*])[*],-33
C(=CCC[C@H]1[C@H](CC[*])OCO1)[*],-30
C(=CCC[C@H]1[C@H](CC[*])OC(O1)(CCCC)CCCC)[*],-27
C(=CCC[C@H]1[C@H](CC[*])OC(O1)C)[*],-14
C(=CCC[C@H]1[C@H](CC[*])OC(O1)(C)C)[*],-4
C(=CCC[C@H]1[C@@H]([C@H]([C@H]1C(OCC(C(C(F)(F)F)(F)F)(F)F)=O)C(OCC(C(C(F)(F)F)(F)F)(F)F)=O)CC[*])[*],-2
C(=CCC[C@H]1[C@@H]([C@H]([C@@H]1C(OC)=O)C(OC)=O)CC[*])[*],-1
C(=CCC[C@H]2[C@H](CC[*])OC1(CCCCC1)O2)[*],8
C(=CCC[C@H]1[C@@H]([C@@]2([C@]1([C@@]3([C@]2(C(=C3F)F)F)F)F)F)CC[*])[*],13
C(=CCC[C@H]1[C@@H]([C@@H]([C@@H]1C(OC)=O)C(OC)=O)CC[*])[*],18
C(=CCC[C@H]1[C@@H](C2=C1C=CC=C2)CC[*])[*],21
C(=CCC[C@H]1[C@@H]([C@@H]2[C@H]1C(OC2)=O)CC[*])[*],49
C(=CCC[C@H]1[C@@H]([C@@]([C@@]1(C(=O)OC)C)(C(=O)OC)C)CC[*])[*],50
C(=CCC[C@H]1[C@@H]([C@]2([C@]1(C(=O)OC)CCCC2)C(=O)OC)CC[*])[*],61
C(=CCC[C@H]1[C@@H]([C@@H]2[C@H]1C(=O)N(C2=O)C3=C(C(=C(C(=C3F)F)F)F)F)CC[*])[*],88
C(=CCC[C@H]1[C@@H]([C@@H]2[C@H]1C(=O)N(C2=O)C3=CC=CC=C3)CC[*])[*],100
O(C2=CC=C(C(C)(C)C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],97.2
O(C4=CC=C(C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(O[S](=O)(=O)[*])C=C3)C=C4)[*],152.8
O(C4=CC=C(C2(C1=C(C=CC=C1)C(O2)=O)C3=CC=C(O[S](=O)(=O)[*])C=C3)C=C4)[*],197.6
[S](OC1=CC=C(C=C1)C3(C2=C(C=CC=C2)C4=CC=CC=C34)C5=CC=C(C=C5)O[*])(=O)(=O)[*],224.7
O(C3=CC=C(C1(CCCCCCCCCCC1)C2=CC=C(O[S](=O)(=O)[*])C=C2)C=C3)[*],172.2
O(C5=CC=C([Si]2(C1=C(C=CC=C1)C3=CC=CC=C23)C4=CC=C(O[S](=O)(=O)[*])C=C4)C=C5)[*],176.4
O(C4=CC=C([Si](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=C(O[S](=O)(=O)[*])C=C3)C=C4)[*],113.1
[S](OC1=CC2=C(C=C1)C=C(C=C2)C4(C3=C(C=CC=C3)C5=CC=CC=C45)C7=CC6=C(C=C(O[*])C=C6)C=C7)(=O)(=O)[*],298
O(C5=CC3=C(C2(C1=C(C=CC=C1)C(O2)=O)C4=C(O3)C=C(O[S](=O)(=O)[*])C=C4)C=C5)[*],238.9
O(C4=C(C)C=C(C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC(=C(O[S](=O)(=O)[*])C(=C3)C)C)C=C4C)[*],102.5
O(C6=CC4=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C5=C(O4)C=C(O[S](=O)(=O)[*])C=C5)C=C6)[*],241.6
O(C4=CC=C(C(C1=CC=C(O[S](=O)(=O)[*])C=C1)=C(C2=CC=CC=C2)C3=CC=CC=C3)C=C4)[*],153.2
O(C2=CC=C(C(C1=CC=C(O[S](=O)(=O)[*])C=C1)=O)C=C2)[*],97.2
 O(C5=C(C)C=C(C2(C1=C(C=CC(=C1)Br)C3=CC=C(C=C23)Br)C4=CC(=C(O[S](=O)(=O)[*])C(=C4)C)C)C=C5C)[*],176.6
O(C6=CC4=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C5=C4C=C(O[S](=O)(=O)[*])C=C5)C=C6)[*],253.2
O(C8=CC4=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C7=C(O4)C=C(O[S](OC6=CN=C(C5=NC=C(O[S](=O)(=O)[*])C=C5)C=C6)(=O)=O)C=C7)C=C8)[*],191.3
O(C5=CC=C(C2(C1=C(C=CC(=C1)Br)C3=CC=C(C=C23)Br)C4=CC=C(O[S](=O)(=O)[*])C=C4)C=C5)[*],256.9
O(C8=CC4=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C7=C(O4)C=C(O[S](OC6=CC=C(C5=CC=C(O[S](=O)(=O)[*])C=C5)C=C6)(=O)=O)C=C7)C=C8)[*],191.3
O(C2=CC=C(C(C(F)(F)F)(C(F)(F)F)C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],106.8
O(C1=CC=C2C(=C1)C=C(O[S](=O)(=O)[*])C=C2)[*],100.4
O(C2=CC=C(C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],120.4
CC(C1=CC=C(O[S](CCC[S](=O)(=O)[*])(=O)=O)C=C1)(C)C2=CC=C(O[*])C=C2,85.9
O(C4=CC=C(C(C)(C)C3=CC=C(O[S](OC2=C(C)C=C(C(C)(C)C1=CC(=C(O[S](=O)(=O)[*])C(=C1)C)C)C=C2C)(=O)=O)C=C3)C=C4)[*],116.1
O(C5=CC=C(C(C)(C)C4=CC=C(O[S](OC3=CC=C(C1(CCCCC1)C2=CC=C(O[S](=O)(=O)[*])C=C2)C=C3)(=O)=O)C=C4)C=C5)[*],108.4
O(C1=CC(=CC(=C1)O[S](OC3=CC=C(C(C)(C)C2=CC=C(O[S](=O)(=O)[*])C=C2)C=C3)(=O)=O)OC)[*],72.6
CC(C1=CC=C(O[S](CCCCC[S](=O)(=O)[*])(=O)=O)C=C1)(C)C2=CC=C(O[*])C=C2,85.9
CC(C3=CC=C(O[S](C2=CC=C(C1=CC=C([S](=O)(=O)[*])C=C1)C=C2)(=O)=O)C=C3)(C)C4=CC=C(O[*])C=C4,176.2
N1(C(C2=C(C1=O)C=CC(=C2)C5=CC3=C(C(N(C3=O)C4=CC=C(C=C4)[*])=O)C=C5)=O)[*],377.1
N1(C(C3=C(C1=O)C=C2C(=O)N(C(C2=C3)=O)C5=CC=C(OC4=CC=C(C=C4)[*])C=C5)=O)[*],368.9
N1(C(C7=C(C1=O)C=C(OC6=CC=C(C(C)(C)C5=CC=C(OC4=CC2=C(C(N(C2=O)C3=CC(=CC=C3)[*])=O)C=C4)C=C5)C=C6)C=C7)=O)[*],217.1
N1(C(C2=C(C1=O)C=CC(=C2)C(C(F)(F)F)(C(F)(F)F)C6=CC=C5C(N(C4=CC=C(C3=C(C(F)(F)F)C=C(C=C3)[*])C(=C4)C(F)(F)F)C(=O)C5=C6)=O)=O)[*],340
O(C6=CC=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C5=CC=C(OC(C4=CC(=CC=C4)C(=O)[*])=O)C=C5)C=C6)[*],311.2
CC(C1=CC=C(O[*])C=C1)(C)C2=CC=C(C=C2)OC(=O)[*],145
O(C2=CC=C(C(C)(C)C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],97.8
O(C2=CC=C(OC1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],63.1
O(C2=CC=C(SC1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],61.8
O(C2=CC=C([S](C1=CC=C(O[S](=O)(=O)[*])C=C1)(=O)=O)C=C2)[*],139.3
O(C2=CC=C(C(C1=CC=C(O[S](=O)(=O)[*])C=C1)=O)C=C2)[*],103.5
O=[S](OC1=CC=C(C=C1)C(C(F)(F)F)(C(F)(F)F)C2=CC=C(C=C2)O[S](=O)(=O)[*])(OC4=CC=C(C(C)(C)C3=CC=C(O[*])C=C3)C=C4)=O,99.8
O(C1=CC=C2C(=C1)C=C(O[S](=O)(=O)[*])C=C2)[*],102.4
O(C2=CC=C(C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],109
CC(C3=CC=C(O[S](OC1=CC(=CC=C1)SC2=CC=CC(=C2)O[*])(=O)=O)C=C3)(C)C4=CC=C(C=C4)O[S](=O)(=O)[*],75.4
CC(C3=CC=C(O[S](OC1=CC(=CC=C1)[S](C2=CC=CC(=C2)O[*])(=O)=O)(=O)=O)C=C3)(C)C4=CC=C(C=C4)O[S](=O)(=O)[*],114.1
CC(C6=CC=C(O[S](OC1=CC(=CC=C1)C3(C2=C(C=CC=C2)C4=CC=CC=C34)C5=CC=CC(=C5)O[*])(=O)=O)C=C6)(C)C7=CC=C(C=C7)O[S](=O)(=O)[*],134.6
CC(C3=CC=C(O[S](OC1=CC(=CC=C1)C(C(F)(F)F)(C(F)(F)F)C2=CC=CC(=C2)O[*])(=O)=O)C=C3)(C)C4=CC=C(C=C4)O[S](=O)(=O)[*],101.7
CC(C4=CC=C(O[S](OC1=CC(=CC=C1)C2(CCCCC2)C3=CC=CC(=C3)O[*])(=O)=O)C=C4)(C)C5=CC=C(C=C5)O[S](=O)(=O)[*],98.8
CC(C3=CC=C(O[S](OC2=CC1=C(C=CC(=C1)O[*])C=C2)(=O)=O)C=C3)(C)C4=CC=C(C=C4)O[S](=O)(=O)[*],94.9
CC(C3=CC=C(O[S](OC2=CC=C(C1=CC=C(O[*])C=C1)C=C2)(=O)=O)C=C3)(C)C4=CC=C(C=C4)O[S](=O)(=O)[*],95.2
O=[S](OC2=CC=C(OC1=CC=C(C=C1)O[S](=O)(=O)[*])C=C2)(OC3=CC(=CC=C3)SC4=CC=CC(=C4)O[*])=O,60.6
O=[S](OC3=CC=C(C1(CCCCC1)C2=CC=C(C=C2)O[S](=O)(=O)[*])C=C3)(OC4=CC(=CC=C4)C6(C5=C(C=CC=C5)C7=CC=CC=C67)C8=CC=CC(=C8)O[*])=O,148
O=[S](OC2=CC=C(C(C1=CC=C(C=C1)O[S](=O)(=O)[*])=O)C=C2)(OC4=CC=C(C(C)(C)C3=CC=C(O[*])C=C3)C=C4)=O,88.6
O=[S](OC2=CC=C(C1=CC=C(C=C1)O[S](=O)(=O)[*])C=C2)(OC4=CC=C(C(C)(C)C3=CC=C(O[*])C=C3)C=C4)=O,104.4
O(C8=CC=C(C(C)(C)C7=CC=C([S](=O)(OC6=CC=C(OC5=CC=C(O[S](=O)(OC4=CC=C(C(C)(C)C3=CC=C(O[S](=O)(OC2=CC=C(C(C)(C)C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)=O)C=C3)C=C4)=O)C=C5)C=C6)=O)C=C7)C=C8)[*],87.3
O(C%11=CC=C([S](C%10=CC=C([S](=O)(OC9=CC=C(C(C8=CC=C(O[S](=O)(OC7=CC=C(C2(C1=C(C=CC=C1)C3=CC=CC=C23)C6=CC=C(O[S](=O)(OC5=CC=C(SC4=CC=C(O[S](=O)(=O)[*])C=C4)C=C5)=O)C=C6)C=C7)=O)C=C8)=O)C=C9)=O)C=C%10)(=O)=O)C=C%11)[*],134.3
CC(C3=CC=C(O[S](=O)(C2=CC=C(C1=CC=C([S](=O)(=O)[*])C=C1)C=C2)=O)C=C3)(C)C4=CC=C(C=C4)O[*],91.1
O(C2=CC=C(C(C)(C)C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],97.2
[S](OC1=CC=C(C=C1)C3(C2=C(C=CC=C2)C4=CC=CC=C34)C5=CC=C(C=C5)O[*])(=O)(=O)[*],224.7
O(C2=CC=C(C(C1=CC=C(O[S](=O)(=O)[*])C=C1)=O)C=C2)[*],97.2
O(C1=CC=C2C(=C1)C=C(O[S](=O)(=O)[*])C=C2)[*],100.4
O(C2=CC=C(C1=CC=C(O[S](=O)(=O)[*])C=C1)C=C2)[*],120.4
N2(C(C1=CC(=CC=C1C2=O)C(C3=CC4=C(C=C3)C(N(C4=O)C5=CC6=C(C=C5)C(CC6(C)C7=CC=C(C=C7)[*])(C)C)=O)=O)=O)[*],320
C1=C(C=CC2=C1C(N(C2=O)C3=CC(=CC=C3)N5C(C4=CC=C(C=C4C5=O)OC6=CC=C(C=C6)C(C7=CC(=CC=C7)O[*])(C)C)=O)=O)[*],217
C1=CC(=CC=C1C(C2=CC=C(C=C2)OC3=CC=C(C=C3)O[*])=O)[*],150
C1=CC(=CC=C1O[*])[S](=O)(=O)C2=CC=C(C=C2)[*],220
C1(=CC=C(S1)[*])[*],215
CCCCC1=C(SC(=C1)[*])[*],50
CCCCCCC1=C(SC(=C1)[*])[*],9
CCCCCCCCC1=C(SC(=C1)[*])[*],-16.3
CCCCCCCCCCC1=C(SC(=C1)[*])[*],-26
CCCCCCCCCCCCC1=C(SC(=C1)[*])[*],-22
C1(=C(SC(=C1)[*])C4=CC2=C(C=C(S2)C3=C(C=C(S3)[*])CCCCCCCCCCCCCC)S4)CCCCCCCCCCCCCC,5
CCCCCCC2(CCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],99.3
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],66
CCCCCCCCCCCCC2(CCCCCCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],31.5
C2(C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*])(CC(CC)CCCC)CC(CC)CCCC,57.5
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C5=CC=C(C4=CC=C(S4)[*])S5,90.75
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C4=CC=C(C5=NSN=C45)[*],108
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C7=CC=C(C5=CC=C(C4=CC=C(S4)[*])C6=NSN=C56)S7,128
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C9=CC=C(C5=C4N=C(C(=NC4=C(C=C5)C6=CC=C(S6)[*])C7=CC=CC=C7)C8=CC=CC=C8)S9,142
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C%12=CC=C(C5=C4N=C(C(=NC4=C(C6=NC(=C(N=C56)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=C(S9)[*])C%10=CC=CC=C%10)C%11=CC=CC=C%11)S%12,184.5
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C4=CC=C(C=C4)C(C5=CC=C(C=C5)[*])C6=CC=C(C=C6)C(C)CC,140
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C4=CC=C(C=C4)C(C5=CC=C(C=C5)[*])C6=CC=C(C=C6)CCCC,156
C6(C1=C(C=C2C(=C1)C5=C(C2(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C(C3=CC=C(C4=NSN=C34)[*])S5)C7=C6C=C(S7)[*])(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,17.6
C6(C1=C(C=C2C(=C1)C5=C(C2(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C(C3=C4C(=C(S3)[*])C(N(C4=O)C)=O)S5)C7=C6C=C(S7)[*])(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,-0.6
C6(C1=C(C=C2C(=C1)C5=C(C2(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC)C=C(C3=CC=C(C4C(=O)N(C)C(=O)C34)[*])S5)C7=C6C=C(S7)[*])(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC,-8.1
C(CCCCCCCC)([N]2C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)C7=CC=C(C5=CC=C(C4=CC=C(C)S4)C6=NSN=C56)S7)CCCCCCCC,121.2
C7(=CC=C(C2=C1SC(=CC1=C(C5=C2C=C(C4=C3SC(=C(C3=C(S4)[*])F)C(=O)OCC(CCCC)CC)S5)C6=CC=C(S6)CC(CC)CCCC)[*])S7)CC(CC)CCCC,138
CCCCC(CC)COC(=O)C2=C(C1=C(SC(=C1S2)C5=CC4=C(C(=C3C=C(SC3=C4OCC(CC)CCCC)[*])OCC(CC)CCCC)S5)[*])F,40
CCCCCCCCC2(CC(CC)CCCC)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],174
CCCCC(CC)CC2(CCCCCCO)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],198
CCCCC(CC)CC2(CCCCCC(=O)OCC)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],161
CCCCCCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],107.3
CCCCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],109
CCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],109
C(CN4C(=O)C3=C(C2=CC=C(C1=CC=C(S1)[*])S2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C3=C4C5=CC=C(S5)[*])(CCCCCCCCCC)CCCCCCCCCCCC,-8.4
C(CN5C(=O)C4=C(C3=CC=C(C2=CC=C(C1=CC=C(S1)[*])S2)S3)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C4=C5C6=CC=C(S6)[*])(CCCCCCCCCCCC)CCCCCCCCCC,15.4
C(CCCCCCCCCC)(CN3C(=O)C2=C(C1=CC=C(S1)[*])N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C2=C3C7=CC=C(C6=CC=C(C5=CC=C(C4=CC=C(S4)[*])S5)S6)S7)CCCCCCCCCCCC,19
C(CCCCCCCCCC)(CN5C(=O)C4=C(C3=CC=C(C2=CC1=C(C=C(S1)[*])S2)S3)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C4=C5C6=CC=C(S6)[*])CCCCCCCCCCCC,3.15
C(CN6C(=O)C5=C(C4=CC=C(C3=CC1=C(C2=C(S1)C=C(S2)[*])S3)S4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C5=C6C7=CC=C(S7)[*])(CCCCCCCCCC)CCCCCCCCCCCC,13
C(CN5C(=O)C4=C(C3=CC=C(C2=CC=C(C=CC1=CC=C(S1)[*])S2)S3)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C4=C5C6=CC=C(S6)[*])(CCCCCCCCCCCC)CCCCCCCCCC,24.5
C(CN6C(=O)C5=C(C4=CC=C(C3=CC(=C(C2=CC=C(C1=CC(=C(S1)[*])CCCCCCCC)S2)S3)CCCCCCCC)S4)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C5=C6C7=CC=C(S7)[*])(CCCCCCCCCC)CCCCCCCCCCCC,-11.8
N7(C(=O)C6=C(C5=CC=C(C1=C(C2=C(S1)C4=C(S2)C3=C(C(=C(S3)[*])CCCCCCCCCCCCCCCCC)S4)CCCCCCCCCCCCCCCCC)S5)N(CCCCCCCCCCCCCCCC)C(=O)C6=C7C8=CC=C(S8)[*])CCCCCCCCCCCCCCCC,4.3
C1(=C(SC(=C1)C5=CC=C(C3=C2C(=O)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=C2C(=O)N3CC(CCCCCCCCCCCC)CCCCCCCCCC)C4=CC=C(S4)[*])S5)C%10=CC=C(C8=CC=C(C7=CC=C(C6=CC(=C(S6)[*])CCCCCCCCCCCC)S7)C9=NSN=C89)S%10)CCCCCCCCCCCC,32
C(CCCCCCCC)(CCCN5C(=O)\C(=C1\C(=O)N(CCCC(CCCCCCCCCCCC)CCCCCCCC)C2=C1C=CC(=C2)C4=CC=C(C3=CC=C(S3)[*])S4)C6=C5C=C(C=C6)[*])CCCCCCCCCCCC,43
C(=CC1=CC=C(C=C1)[*])[*],220
C(=CC1=C(C=C(C(=C1)OC)[*])OCCC(C)CCCC(C)C)[*],34
C(=CC1=C(C=C(C(=C1)OC)[*])OCC(CC)CCCC)[*],65.5
C(=CC1=C(C=C(C(=C1)OC)[*])OCCC2=CC=CC=C2)[*],111
