Smiles,Tg
C1(=O)N(C(=O)C2=C1C=CC(=C2)C(C(F)(F)F)(C(F)(F)F)C3=CC=C4C(=C3)C(=O)N(C4=O)[*])C5=CC=C(C=C5)C9(C6=CC=C(C=C6)[*])C7=C(C=CC(=C7)C8=CC=C(C=C8)C(F)(F)F)C%10=C9C=C(C=C%10)C%11=CC=C(C=C%11)C(F)(F)F,406
C1(=O)N(C(=O)C2=C1C=CC(=C2)C3=CC=C4C(=C3)C(=O)N(C4=O)[*])C5=CC=C(C=C5)C9(C6=CC=C(C=C6)[*])C7=C(C=CC(=C7)C8=CC=C(C=C8)C(F)(F)F)C%10=C9C=C(C=C%10)C%11=CC=C(C=C%11)C(F)(F)F,465
C1(=O)N(C(=O)C2=C1C=CC(=C2)C(C3=CC=C4C(=C3)C(=O)N(C4=O)[*])=O)C5=CC=C(C=C5)C9(C6=CC=C(C=C6)[*])C7=C(C=CC(=C7)C8=CC=C(C=C8)C(F)(F)F)C%10=C9C=C(C=C%10)C%11=CC=C(C=C%11)C(F)(F)F,459
C1(=O)N(C(=O)C2=C1C=C3C(=C2)C(=O)N(C3=O)[*])C4=CC=C(C=C4)C8(C5=CC=C(C=C5)[*])C6=C(C=CC(=C6)C7=CC=C(C=C7)C(F)(F)F)C9=C8C=C(C=C9)C%10=CC=C(C=C%10)C(F)(F)F,494
[*]C1=CC=C(C=C1)C3=NC(=C(C2=CC=CC=C2)[N]3C4=CC=C(C=C4)N5C(=O)C6C(C5=O)C7=CC8=C(C=C67)C9C(N(C(C89)=O)[*])=O)C%10=CC=CC=C%10,398
[*]C1=CC=C(C=C1)C3=NC(=C(C2=CC=CC=C2)[N]3C4=CC=C(C=C4)N5C(=O)C7C(C5=O)C8=CC6=CC9=C(C=C6C=C78)C%10C(N(C(C9%10)=O)[*])=O)C%11=CC=CC=C%11,419
[*]C1=CC=C(C=C1)C3=NC(=C(C2=CC=CC=C2)[N]3C4=CC=C(C=C4)N5C(=O)C%12C(C5=O)C6=C%13C%11=C(C=C6)C7=C%10C9=C(C=C7)C8C(N(C(C8C9=CC=C%10C%11=CC=C%12%13)=O)[*])=O)C%14=CC=CC=C%14,453
C(N5C(=O)C1=C(C=C(C=C1)N(C2=CC=CC=C2)C3=CC4=C(C=C3)C(N(C4=O)[*])=O)C5=O)C%10=CC=C(C8(C6=CC=C(C=C6)[*])C7=C(C=CC=C7)C9=CC=CC=C89)C=C%10,382
C(N6C(=O)C1=C(C=C(C=C1)N(C2=C3C(=CC=C2)C=CC=C3)C4=CC5=C(C=C4)C(N(C5=O)[*])=O)C6=O)C%11=CC=C(C9(C7=CC=C(C=C7)[*])C8=C(C=CC=C8)C%10=CC=CC=C9%10)C=C%11,399
C(N8C(=O)C1=C(C=C(C=C1)N(C2=C4C3=C(C=C2)C=CC5C3=C(C=C4)CC=C5)C6=CC7=C(C=C6)C(N(C7=O)[*])=O)C8=O)C%13=CC=C(C%11(C9=CC=C(C=C9)[*])C%10=C(C=CC=C%10)C%12=CC=CC=C%11%12)C=C%13,420
C1(=CC(=C(C=C1)NC(=O)C2=CC(=C(C=C2)N5C(=O)C4CC3C(=O)N(C(=O)C3CC4C5=O)[*])C)C)[*],417.5
C1=CC=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5CC4C(=O)N(C(=O)C4CC5C6=O)[*])C,385
C1=C(C=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5CC4C(=O)N(C(=O)C4CC5C6=O)[*])C)F,382
C1(=C(C(=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5CC4C(=O)N(C(=O)C4CC5C6=O)[*])C)F)F)F,375
C1=CC=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5C7C4C(=O)N(C(=O)C4C(C5C6=O)C=C7)[*])C,400
C1=C(C=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5C7C4C(=O)N(C(=O)C4C(C5C6=O)C=C7)[*])C)F,387
C1(=C(C(=CC(=C1)C([H])(C2=CC(=C(C(=C2)C)[*])C)C3=CC(=C(C(=C3)C)N6C(=O)C5C7C4C(=O)N(C(=O)C4C(C5C6=O)C=C7)[*])C)F)F)F,364
C1(=CC=C(C=C1)OC2=CC=C(C=C2)N5C(=O)C4=C(C=C3C(N(C(C3=C4)=O)[*])=O)C5=O)[*],418.8
C1(=CC=C(C=C1)NC2=CC=C(C=C2)N5C(=O)C4=C(C=C3C(N(C(C3=C4)=O)[*])=O)C5=O)[*],431.6
