Smiles,Tg
*C1COC2C1OCC2Oc1ccc(cc1)CNC(=O)CCCCCCC(=O)NCc1ccc(cc1)O*,21.58173134
*OC(=O)c1ccc(cc1)C(=O)OCCCC(=O)NCc1ccc(cc1)CNC(=O)CCC*,53.55726117
*SCCCCC*,-55.37860961
*Oc1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)OCCCCCC*,64.73496741
*c1[nH]c(cc1CC(=O)OCCCCCCCC)*,-4.076963699
*C(C*)(CC(=O)OCCCCCCCCCC)C(=O)OCCCCCCCCCC,75.04044311
*N(C(=O)CCCCCCCCCCCCCCCCC(=O)N(CCCCCC*)C)C,49.34222836
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)CCCCC)cc1,204.7640603
*NC(=O)C(=O)NCCCCCCCCCCNC(=O)CCCCCCCCC(=O)NCCCCCCCCCC*,82.2677155
*OC(=O)c1ccc(cc1)C(=O)OCCCCCCCCCCCCCCCCCCCC*,17.27783213
*Oc1ccc(cc1)SSCCCCSSc1ccc(cc1)*,102.260186
*Oc1ccc(cc1)C(=O)Nc1c(cc(cc1)c1cc(c(cc1)NC(=O)c1ccc(cc1)OCCCCCC*)Cl)Cl,133.9866306
*c1c(cc(c(c1)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C)C=C*)C=Cc1ccc(cc1)OCCC(CCCC(C)C)C,2.868925186
*c1ccc(cc1)C=C1C(=O)C(=Cc2ccc(cc2)C(=O)CCCCC(=O)*)CC1,197.4539358
*SC(=O)CCCCC(=O)SCc1ccc(cc1)c1ccc(cc1)C*,-14.32353196
*C(C*)(C(=O)OCCNC(=O)N(CC(C(C(OC1OC(C(C(C1O)O)O)CO)C(CO)O)O)O)CCCCCC)C,23.2402228
*C(C*)(C(=O)OCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)OCCCCCC)C,14.67015775
*OC(=O)NCCCCCC(=O)OCCCC*,47.28425166
*OC(=O)CCCCCCC(=O)OCCc1ccc(cc1)N1ON1c1ccc(cc1)CC*,17.91289325
*C(C*)C(=O)NCCCC,-84.72234668
