Smiles,Tg
C(CCC[*])CCC=C[*],-23.0
C(CCC[*])CC(C=C[*])C,-58.0
C(CCC[*])(CCC=C[*])CCCCCC,-79.0
C(CCC=CC(CC[*])C1=CC=CC=C1)[*],-21.0
C(CCC=CC(CC[*])CCCCCC)[*],-71.0
C(CCC=CC(CC[*])CC)[*],-57.0
C(CCC=CC(CC[*])C)[*],-67.0
C(CCC[*])(CCC=C[*])SCC(C)C,-26.0
C(CCC[*])(CCC=C[*])Br,-54.0
C(CCC[*])(CCC=C[*])Cl,-35.0
C(CCC[*])(CCC=C[*])C(OCCCCCCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)CN)=O,-5.0
C(CCC[*])(CCC=C[*])C#N,27.0
C(CCC[*])(CCC=C[*])O,10.0
C(CCC[*])(CCC=C[*])=O,-58.0
C(CCC[*])(CCC=C[*])C(OC1=CC=C(C=C1)C(F)(F)F)=O,-7.0
C(CCC[*])(CCC=C[*])OC=O,-41.0
C(CCC[*])C(CC=C[*])OC=O,-40.0
C(CCC[*])CC(C=C[*])OC=O,-33.0
C(CCC[*])(CC(C=C[*])OC=O)C,-21.0
C(CCC[*])(CC(C=C[*])OC=O)C1=CC=CC=C1,10.0
C(CCC[*])C(C(C=C[*])C)OC=O,-22.0
C(CCC[*])C(C(C=C[*])C1=CC=CC=C1)OC=O,25.0
C1(CCC[*])C(CC=C[*])OC(O1)(C)C,-10.0
C1(CCC[*])C(CCC[*])OC(O1)(C)C,-8.0
C(CCC[*])(C(CCC[*])O)O,42.0
C(CCC[*])(CCC=C[*])B(CC)CC,11.0
C(CCC[*])(CCC=C[*])O,45.0
C(=CCC[C@@H]1CCC[C@H]1CC[*])[*],-31.0
C(=CCC[C@H]1[C@@H]([C@H]([C@H]1C(OCCCC)=O)C(OCCCC)=O)CC[*])[*],-33.0
C(=CCC[C@H]1[C@H](CC[*])OC(O1)(CCCC)CCCC)[*],-27.0
C(=CCC[C@H]2[C@H](CC[*])OC1(CCCCC1)O2)[*],8.0
C(=CCC[C@H]1[C@@H]([C@]2([C@]1(C(=O)OC)CCCC2)C(=O)OC)CC[*])[*],61.0
O(C3=CC=C(C1(CCCCCCCCCCC1)C2=CC=C(O[S](=O)(=O)[*])C=C2)C=C3)[*],172.2
CC(C1=CC=C(O[S](CCC[S](=O)(=O)[*])(=O)=O)C=C1)(C)C2=CC=C(O[*])C=C2,85.9
O(C5=CC=C(C(C)(C)C4=CC=C(O[S](OC3=CC=C(C1(CCCCC1)C2=CC=C(O[S](=O)(=O)[*])C=C2)C=C3)(=O)=O)C=C4)C=C5)[*],108.4
CC(C1=CC=C(O[S](CCCCC[S](=O)(=O)[*])(=O)=O)C=C1)(C)C2=CC=C(O[*])C=C2,85.9
CC(C4=CC=C(O[S](OC1=CC(=CC=C1)C2(CCCCC2)C3=CC=CC(=C3)O[*])(=O)=O)C=C4)(C)C5=CC=C(C=C5)O[S](=O)(=O)[*],98.8
O=[S](OC3=CC=C(C1(CCCCC1)C2=CC=C(C=C2)O[S](=O)(=O)[*])C=C3)(OC4=CC(=CC=C4)C6(C5=C(C=CC=C5)C7=CC=CC=C67)C8=CC=CC(=C8)O[*])=O,148.0
CCCCC1=C(SC(=C1)[*])[*],50.0
CCCCCCC1=C(SC(=C1)[*])[*],9.0
CCCCCCCCC1=C(SC(=C1)[*])[*],-16.3
CCCCCCCCCCC1=C(SC(=C1)[*])[*],-26.0
CCCCCCCCCCCCC1=C(SC(=C1)[*])[*],-22.0
C1(=C(SC(=C1)[*])C4=CC2=C(C=C(S2)C3=C(C=C(S3)[*])CCCCCCCCCCCCCC)S4)CCCCCCCCCCCCCC,5.0
CCCCCCC2(CCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],99.3
CCCCCCCCC2(CCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],66.0
CCCCCCCCCCCCC2(CCCCCCCCCCCC)C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*],31.5
C2(C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*])(CC(CC)CCCC)CC(CC)CCCC,57.5
