ID,Smiles,Tg,Polymer type
P020177.mol,*C(C*)(C(=O)OC)c1ccccc1,121.0,"Polystyrenes, Polyacrylics, Polyvinyls"
P030177.mol,*C(C*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,-23.67,"Polyacrylics, Polyvinyls"
P040001.mol,*C(C*)C(=O)O,112.62,"Polyacrylics, Polyvinyls"
P040002.mol,*C(C*)C(=O)OC,10.78,"Polyacrylics, Polyvinyls"
P040003.mol,*C(C*)C(=O)OCC,-9.27,"Polyacrylics, Polyvinyls"
P040004.mol,*C(C*)C(=O)OCCC,-41.5,"Polyacrylics, Polyvinyls"
P040005.mol,*C(C*)C(=O)OC(C)C,-8.38,"Polyacrylics, Polyvinyls"
P040006.mol,*C(C*)C(=O)OCCCC,-31.07,"Polyacrylics, Polyvinyls"
P040007.mol,*C(C*)C(=O)OCC(C)C,25.0,"Polyacrylics, Polyvinyls"
P040008.mol,*C(C*)C(=O)OC(CC)C,-20.4,"Polyacrylics, Polyvinyls"
P040010.mol,*C(C*)C(=O)OC(C)(C)C,40.66,"Polyacrylics, Polyvinyls"
P040011.mol,*C(C*)C(=O)OCCCCCC,-57.0,"Polyacrylics, Polyvinyls"
P040012.mol,*C(C*)C(=O)OCCCCCCC,-60.0,"Polyacrylics, Polyvinyls"
P040013.mol,*C(C*)C(=O)OCCCCCCCC,-65.0,"Polyacrylics, Polyvinyls"
P040017.mol,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,-42.5,"Polyacrylics, Polyvinyls"
P040020.mol,*C(C*)C(=O)OC1C2(CCC(C1)C2(C)C)C,98.6,"Polyacrylics, Polyvinyls"
P040021.mol,*C(C*)C(=O)OCC(F)(F)F,0.97,"Polyacrylics, Polyvinyls"
P040022.mol,*C(C*)C(=O)OCC(C(F)(F)F)(F)F,-26.0,"Polyacrylics, Polyvinyls"
P040023.mol,*C(C*)C(=O)OC(C(F)(F)F)C(F)(F)F,24.06,"Polyacrylics, Polyvinyls"
P040024.mol,*C(C*)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,7.5,"Polyacrylics, Polyvinyls"
P040027.mol,*C(C*)C(=O)OCC(C(F)C(F)(F)F)(F)F,-22.0,"Polyacrylics, Polyvinyls"
P040028.mol,*C(C*)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,-30.0,"Polyacrylics, Polyvinyls"
P040030.mol,*C(C*)C(=O)OCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-37.0,"Polyacrylics, Polyvinyls"
P040031.mol,*C(C*)C(=O)OCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-39.0,"Polyacrylics, Polyvinyls"
P040032.mol,*C(C*)C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-17.0,"Polyacrylics, Polyvinyls"
P040034.mol,*C(C*)C(=O)OCCOC,-41.67,"Polyacrylics, Polyvinyls"
P040035.mol,*C(C*)C(=O)OCCOCC,-50.0,"Polyacrylics, Polyvinyls"
P040036.mol,*C(C*)C(=O)OCCCOC,-66.5,"Polyacrylics, Polyvinyls"
P040037.mol,*C(C*)C(=O)OCCCOCC,-61.5,"Polyacrylics, Polyvinyls"
P040038.mol,*C(C*)C(=O)OCCOCC(F)(F)F,-38.0,"Polyacrylics, Polyvinyls"
P040039.mol,*C(C*)C(=O)OCCOC(C(F)F)(F)F,-22.0,"Polyacrylics, Polyvinyls"
P040040.mol,*C(C*)C(=O)OCCOCC(C(C(F)(F)F)(F)F)(F)F,-45.0,"Polyacrylics, Polyvinyls"
P040041.mol,*C(C*)C(=O)OCC(C(OC(F)(F)F)(F)F)(F)F,-55.0,"Polyacrylics, Polyvinyls"
P040042.mol,*C(C*)C(=O)OCC(C(OC(C(F)(F)F)(F)F)(F)F)(F)F,-49.0,"Polyacrylics, Polyvinyls"
P040043.mol,*C(C*)C(=O)OCC(C(OC(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,-68.0,"Polyacrylics, Polyvinyls"
P040047.mol,*C(C*)(C(=O)O)C,182.64,"Polyacrylics, Polyvinyls"
P040048.mol,*C(C*)(C(=O)OC)C,103.23,"Polyacrylics, Polyvinyls"
P040049.mol,*C(C*)(C(=O)OCC)C,64.96,"Polyacrylics, Polyvinyls"
P040050.mol,*C(C*)(C(=O)OCCC)C,44.92,"Polyacrylics, Polyvinyls"
P040051.mol,*C(C*)(C(=O)OC(C)C)C,72.71,"Polyacrylics, Polyvinyls"
P040052.mol,*C(C*)(C(=O)OCCCC)C,28.5,"Polyacrylics, Polyvinyls"
P040053.mol,*C(C*)(C(=O)OC(CC)C)C,59.67,"Polyacrylics, Polyvinyls"
P040054.mol,*C(C*)(C(=O)OCC(C)C)C,54.04,"Polyacrylics, Polyvinyls"
P040055.mol,*C(C*)(C(=O)OC(C)(C)C)C,101.25,"Polyacrylics, Polyvinyls"
P040056.mol,*C(C*)(C(=O)OCCCCCC)C,-7.25,"Polyacrylics, Polyvinyls"
P040059.mol,*C(C*)(C(=O)OCCCCCCCC)C,-10.0,"Polyacrylics, Polyvinyls"
P040060.mol,*C(C*)(C(=O)OCCCCCCCCCCCC)C,-44.99,"Polyacrylics, Polyvinyls"
P040061.mol,*C(C*)(C(=O)OCCCCCCCCCCCCCC)C,-72.0,"Polyacrylics, Polyvinyls"
P040063.mol,*C(C*)(C(=O)OCCCCCCCCCCCCCCCCCC)C,-103.33,"Polyacrylics, Polyvinyls"
P040064.mol,*C(C*)(C(=O)OC1CCCCC1)C,89.76,"Polyacrylics, Polyvinyls"
