ID,Smiles,Tg,Polymer type
P070170.mol,*OCC(=O)NCCCCCCNC(=O)C*,10.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070181.mol,*OCCCNC(=O)CCCCC(=O)NCCC*,34.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070208.mol,*Oc1ccc(cc1)CC(=O)NCCCCCCNC(=O)C*,69.5,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070209.mol,*Oc1ccc(cc1)CCC(=O)NCCCCCCNC(=O)C*,72.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070210.mol,*Oc1ccc(cc1)OCC(=O)NCCCCCCNC(=O)C*,67.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070211.mol,*OCCCNC(=O)c1ccc(cc1)C(=O)NCCC*,72.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070214.mol,*OCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCC*,70.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070218.mol,*OCCC(=O)NCc1c(cc(c(c1)C)CNC(=O)CC*)C,80.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070229.mol,*Oc1ccc(cc1)C(=O)NCC(CCCNC(=O)c1ccc(cc1)*)(C)C,155.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070231.mol,*Oc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,205.39,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070232.mol,*Oc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)*,184.75,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070442.mol,*OCCC(=O)NCc1c(c(c(c(c1C)C)CNC(=O)CC*)C)C,191.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070574.mol,*Oc1cc(ccc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*,153.33,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070575.mol,*Oc1ccc(cc1)NC(=O)CCCCC(=O)Nc1ccc(cc1)*,230.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070576.mol,*Oc1cc(ccc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*,120.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070577.mol,*Oc1ccc(cc1)NC(=O)CCCCCCCC(=O)Nc1ccc(cc1)*,160.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070578.mol,*Oc1cc(ccc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*,110.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070579.mol,*Oc1ccc(cc1)NC(=O)CCCCCCCCCCC(=O)Nc1ccc(cc1)*,150.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070583.mol,*Oc1cc(ccc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*,130.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070584.mol,*Oc1ccc(cc1)NC(=O)CCCCCC(=O)Nc1ccc(cc1)*,180.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070585.mol,*Oc1cc(ccc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*,125.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070586.mol,*Oc1ccc(cc1)NC(=O)CCCCCCCCC(=O)Nc1ccc(cc1)*,160.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070587.mol,*Oc1cc(ccc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*,140.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070588.mol,*Oc1ccc(cc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)*,180.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070589.mol,*Oc1cc(ccc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*,110.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070590.mol,*Oc1ccc(cc1)NC(=O)CCCCCCCCCC(=O)Nc1ccc(cc1)*,150.0,"Polyoxides/ethers/acetals, Polyamides/thioamides"
P070646.mol,*Oc1ccc(cc1)NC(=O)c1c(cc(c(c1)C(=O)Nc1ccc(cc1)*)C(=O)O)C(=O)O,207.4,"Polyoxides/ethers/acetals, Polyamides/thioamides"
