ID,Smiles,Tg,Polymer type
P070136.mol,*OC(=O)CCCCCCCC(=O)OCCOCC*,-71.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070137.mol,*OC(=O)CCCCCCCCC(=O)OCCOCC*,-74.5,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070140.mol,*c1oc(cc1)C(=O)OCCOC(=O)*,85.56,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070141.mol,*OC(COCC(OC(=O)c1c(cccc1)C(=O)*)C)C,25.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070142.mol,*OC(=O)c1cc(ccc1)C(=O)OCCOCC*,16.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070143.mol,*Oc1ccc(cc1)C(=O)OCC*,77.67,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070158.mol,*Oc1ccc(cc1)C(=O)OCCOC(=O)c1ccc(cc1)*,74.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070163.mol,*Oc1ccc(cc1)C(=O)OCCOC(=O)c1ccc(cc1)OCCCC*,53.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070167.mol,*Oc1ccc(cc1)C(=O)OCCCCCOC(=O)c1ccc(cc1)*,26.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070168.mol,*Oc1ccc(cc1)C(=O)OCCCCCCOC(=O)c1ccc(cc1)*,15.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070319.mol,*OC(=O)c1c(cccc1)C(=O)OCCOCC*,-50.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070323.mol,*OC(=O)C(=O)OCCOCC*,-28.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070324.mol,*OC(=O)CC(=O)OCCOCC*,-41.5,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070325.mol,*OC(=O)C(C(=O)OCCOCC*)C,-29.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070326.mol,*OC(=O)C(C(=O)OCCOCC*)CCC,-38.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070327.mol,*OC(=O)C(C(=O)OCCOCC*)CCCCC,-47.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070328.mol,*OC(=O)C(C(=O)OCCOCC*)CCCCCCC,-58.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070329.mol,*OC(=O)C(C(=O)OCCOCC*)CCCCCCCCC,-59.0,"Polyoxides/ethers/acetals, Polyesters/thioesters"
P070330.mol,*OC(=O)CCC(=O)OCCOCC*,-41.51,"Polyoxides/ethers/acetals, Polyesters/thioesters"
