ID,Smiles,Tg,Polymer type
P010027.mol,*C(C*)Cc1ccccc1,63.33,Polyvinyls
P010028.mol,*C(C*)CCc1ccccc1,17.5,Polyvinyls
P020001.mol,*C(C*)c1ccccc1,92.74,"Polystyrenes, Polyvinyls"
P020002.mol,*C(C*)c1c(cccc1)C,124.17,"Polystyrenes, Polyvinyls"
P020005.mol,*C(C*)c1c(cccc1)COC,89.0,"Polystyrenes, Polyvinyls"
P020006.mol,*C(C*)c1c(cccc1)COCC,74.0,"Polystyrenes, Polyvinyls"
P020007.mol,*C(C*)c1c(cccc1)COCCC,97.0,"Polystyrenes, Polyvinyls"
P020008.mol,*C(C*)c1c(cccc1)COC(C)C,88.0,"Polystyrenes, Polyvinyls"
P020009.mol,*C(C*)c1c(cccc1)COCCCC,67.0,"Polystyrenes, Polyvinyls"
P020010.mol,*C(C*)c1c(cccc1)COCCCCC,47.0,"Polystyrenes, Polyvinyls"
P020011.mol,*C(C*)c1c(cccc1)COCCC(C)C,78.0,"Polystyrenes, Polyvinyls"
P020012.mol,*C(C*)c1c(cccc1)COCc1ccccc1,72.0,"Polystyrenes, Polyvinyls"
P020013.mol,*C(C*)c1c(cccc1)COCCc1ccccc1,63.0,"Polystyrenes, Polyvinyls"
P020014.mol,*C(C*)c1c(cccc1)C(=O)NC,189.0,"Polystyrenes, Polyvinyls"
P020015.mol,*C(C*)c1c(cccc1)C(=O)N(C)C,190.0,"Polystyrenes, Polyvinyls"
P020016.mol,*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,191.0,"Polystyrenes, Polyvinyls"
P020017.mol,*C(C*)c1c(cccc1)C(=O)O,177.0,"Polystyrenes, Polyvinyls"
P020018.mol,*C(C*)c1c(cccc1)C(=O)OC,130.0,"Polystyrenes, Polyvinyls"
P020019.mol,*C(C*)c1c(cccc1)C(=O)OCC,118.0,"Polystyrenes, Polyvinyls"
P020020.mol,*C(C*)c1c(cccc1)C(=O)OCCC,108.0,"Polystyrenes, Polyvinyls"
P020021.mol,*C(C*)c1c(cccc1)C(=O)OC(C)C,146.0,"Polystyrenes, Polyvinyls"
P020022.mol,*C(C*)c1c(cccc1)C(=O)OCCCC,66.0,"Polystyrenes, Polyvinyls"
P020023.mol,*C(C*)c1c(cccc1)C(=O)OCC(C)C,127.0,"Polystyrenes, Polyvinyls"
P020024.mol,*C(C*)c1c(cccc1)C(=O)OCCCCC,92.0,"Polystyrenes, Polyvinyls"
P020025.mol,*C(C*)c1c(cccc1)C(=O)OCCC(C)C,68.0,"Polystyrenes, Polyvinyls"
P020026.mol,*C(C*)c1c(cccc1)C(=O)OCCCCCC,45.0,"Polystyrenes, Polyvinyls"
P020027.mol,*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,124.0,"Polystyrenes, Polyvinyls"
P020028.mol,*C(C*)c1c(cccc1)C(=O)OCCN(C)C,69.0,"Polystyrenes, Polyvinyls"
P020029.mol,*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,91.0,"Polystyrenes, Polyvinyls"
P020032.mol,*C(C*)c1c(cccc1)Cl,112.63,"Polystyrenes, Polyvinyls"
P020035.mol,*C(C*)c1cc(ccc1)C,74.83,"Polystyrenes, Polyvinyls"
P020039.mol,*C(C*)c1cc(ccc1)Cl,87.25,"Polystyrenes, Polyvinyls"
P020040.mol,*C(C*)c1cc(ccc1)F,86.0,"Polystyrenes, Polyvinyls"
P020041.mol,*C(C*)c1ccc(cc1)C,103.07,"Polystyrenes, Polyvinyls"
P020042.mol,*C(C*)c1ccc(cc1)CC,50.47,"Polystyrenes, Polyvinyls"
P020043.mol,*C(C*)c1ccc(cc1)C(C)C,62.4,"Polystyrenes, Polyvinyls"
P020045.mol,*C(C*)c1ccc(cc1)CCCC,14.4,"Polystyrenes, Polyvinyls"
P020046.mol,*C(C*)c1ccc(cc1)C(C)(C)C,134.63,"Polystyrenes, Polyvinyls"
P020049.mol,*C(C*)c1ccc(cc1)CCCCCC,-27.0,"Polystyrenes, Polyvinyls"
P020050.mol,*C(C*)c1ccc(cc1)CCCCCCCC,-45.0,"Polystyrenes, Polyvinyls"
P020051.mol,*C(C*)c1ccc(cc1)CCCCCCCCC,-53.0,"Polystyrenes, Polyvinyls"
P020052.mol,*C(C*)c1ccc(cc1)CCCCCCCCCC,-65.0,"Polystyrenes, Polyvinyls"
P020053.mol,*C(C*)c1ccc(cc1)CCCCCCCCCCCC,-52.0,"Polystyrenes, Polyvinyls"
P020054.mol,*C(C*)c1ccc(cc1)CCCCCCCCCCCCCC,-36.0,"Polystyrenes, Polyvinyls"
P020055.mol,*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCC,4.5,"Polystyrenes, Polyvinyls"
P020056.mol,*C(C*)c1ccc(cc1)CCCCCCCCCCCCCCCCCC,32.0,"Polystyrenes, Polyvinyls"
P020058.mol,*C(C*)c1ccc(cc1)c1ccccc1,161.0,"Polystyrenes, Polyvinyls"
P020059.mol,*C(C*)c1ccc(cc1)COCCOCC,0.0,"Polystyrenes, Polyvinyls"
P020060.mol,*C(C*)c1ccc(cc1)C#N,180.0,"Polystyrenes, Polyvinyls"
P020061.mol,*C(C*)c1ccc(cc1)Cl,119.38,"Polystyrenes, Polyvinyls"
P020062.mol,*C(C*)c1ccc(cc1)Br,132.66,"Polystyrenes, Polyvinyls"
P020063.mol,*C(C*)c1ccc(cc1)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,42.0,"Polystyrenes, Polyvinyls"
P020064.mol,*C(C*)c1ccc(cc1)C(=NO)C,134.0,"Polystyrenes, Polyvinyls"
P020065.mol,*C(C*)c1ccc(cc1)C(O)(C)C,165.0,"Polystyrenes, Polyvinyls"
P020066.mol,*C(C*)c1ccc(cc1)C(CC)(O)C,186.0,"Polystyrenes, Polyvinyls"
P020067.mol,*C(C*)c1ccc(cc1)C(CCC)(O)C,130.0,"Polystyrenes, Polyvinyls"
P020068.mol,*C(C*)c1ccc(cc1)C(CCCC)(O)C,82.5,"Polystyrenes, Polyvinyls"
P020069.mol,*C(C*)c1ccc(cc1)C(CCCCC)(O)C,92.5,"Polystyrenes, Polyvinyls"
P020070.mol,*C(C*)c1ccc(cc1)C(CCN(C)C)O,43.0,"Polystyrenes, Polyvinyls"
P020071.mol,*C(C*)c1ccc(cc1)C(CCN1CCCCC1)O,54.0,"Polystyrenes, Polyvinyls"
P020072.mol,*C(C*)c1ccc(cc1)C(CCN1CCOCC1)O,50.0,"Polystyrenes, Polyvinyls"
P020074.mol,*C(C*)c1ccc(cc1)COC,77.0,"Polystyrenes, Polyvinyls"
P020075.mol,*C(C*)c1ccc(cc1)COCCO,46.0,"Polystyrenes, Polyvinyls"
P020076.mol,*C(C*)c1ccc(cc1)COCCC,22.0,"Polystyrenes, Polyvinyls"
P020077.mol,*C(C*)c1ccc(cc1)COCCCC,10.0,"Polystyrenes, Polyvinyls"
P020078.mol,*C(C*)c1ccc(cc1)COCCCCO,20.0,"Polystyrenes, Polyvinyls"
P020079.mol,*C(C*)c1ccc(cc1)COC(CC)C,40.0,"Polystyrenes, Polyvinyls"
P020080.mol,*C(C*)c1ccc(cc1)COCCCCCC,-20.0,"Polystyrenes, Polyvinyls"
P020083.mol,*C(C*)c1ccc(cc1)COCCOCCCC,-38.0,"Polystyrenes, Polyvinyls"
P020084.mol,*C(C*)c1ccc(cc1)C(=O)N(C)C,125.0,"Polystyrenes, Polyvinyls"
P020085.mol,*C(C*)c1ccc(cc1)C(=O)N(CC)CC,102.0,"Polystyrenes, Polyvinyls"
P020086.mol,*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,114.0,"Polystyrenes, Polyvinyls"
P020087.mol,*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,38.0,"Polystyrenes, Polyvinyls"
P020088.mol,*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,127.0,"Polystyrenes, Polyvinyls"
P020090.mol,*C(C*)c1ccc(cc1)C(=O)OC,122.0,"Polystyrenes, Polyvinyls"
P020091.mol,*C(C*)c1ccc(cc1)C(=O)OCC,94.0,"Polystyrenes, Polyvinyls"
P020092.mol,*C(C*)c1ccc(cc1)C(=O)OCCC,92.0,"Polystyrenes, Polyvinyls"
P020093.mol,*C(C*)c1ccc(cc1)C(=O)OC(C)C,95.0,"Polystyrenes, Polyvinyls"
P020094.mol,*C(C*)c1ccc(cc1)C(=O)OCCCC,76.0,"Polystyrenes, Polyvinyls"
P020095.mol,*C(C*)c1ccc(cc1)C(=O)OCC(C)C,90.0,"Polystyrenes, Polyvinyls"
P020096.mol,*C(C*)c1ccc(cc1)C(=O)OCCCCCC,66.0,"Polystyrenes, Polyvinyls"
P020098.mol,*C(C*)c1ccc(cc1)C(=O)CC,102.0,"Polystyrenes, Polyvinyls"
P020099.mol,*C(C*)c1ccc(cc1)C(=O)CCC,74.0,"Polystyrenes, Polyvinyls"
P020100.mol,*C(C*)c1ccc(cc1)C(=O)CCCC,70.0,"Polystyrenes, Polyvinyls"
P020101.mol,*C(C*)c1ccc(cc1)C(=O)CCCCC,66.0,"Polystyrenes, Polyvinyls"
