Smiles,Tg
C(C(CC[*])C1=CC=CC=C1)C(CC=C[*])C,-4.0
C(CCC[*])(CCC=C[*])CCCCCC,-79.0
C(CCC=CC(CC[*])CCCCCC)[*],-71.0
C(CCC=CC(CC[*])CC)[*],-57.0
C(CCC[*])(CCC=C[*])C(OCCCCCCCCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)CN)=O,-5.0
C(CCC[*])(CCC=C[*])C#N,27.0
C(CCC[*])(CCC=C[*])C(OC1=CC=C(C=C1)C(F)(F)F)=O,-7.0
C(CCC[*])(CC(C=C[*])OC=O)C,-21.0
C(C(CC[*])C)C(CC=C[*])OC=O,-26.0
C(=CCC[C@H]1[C@@H](CC1)CC[*])[*],-55.0
C(=CCC[C@@H]1CCC[C@H]1CC[*])[*],-31.0
C2(C1=C(C=CC(=C1)[*])C3=C2C=C(C=C3)[*])(CC(CC)CCCC)CC(CC)CCCC,57.5
C7(=CC=C(C2=C1SC(=CC1=C(C5=C2C=C(C4=C3SC(=C(C3=C(S4)[*])F)C(=O)OCC(CCCC)CC)S5)C6=CC=C(S6)CC(CC)CCCC)[*])S7)CC(CC)CCCC,138.0
CCCCC(CC)COC(=O)C2=C(C1=C(SC(=C1S2)C5=CC4=C(C(=C3C=C(SC3=C4OCC(CC)CCCC)[*])OCC(CC)CCCC)S5)[*])F,40.0
CCCCCCCCC2(CC(CC)CCCC)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],174.0
CCCCC(CC)CC2(CCCCCCO)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],198.0
CCCCC(CC)CC2(CCCCCC(=O)OCC)C1=C(SC(=C1)[*])C3=C2C=C(S3)C4=CC=C(C5=NSN=C45)[*],161.0
CCCCCCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],107.3
CCCCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],109.0
CCCCN2C(=O)C1=C(SC(=C1C2=O)C3=CC5=C(S3)C4=C(C=C(S4)[*])[Si]5(CC(CCCC)CC)CC(CC)CCCC)[*],109.0
C(CN4C(=O)C3=C(C2=CC=C(C1=CC=C(S1)[*])S2)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C(=O)C3=C4C5=CC=C(S5)[*])(CCCCCCCCCC)CCCCCCCCCCCC,-8.4
C(CN5C(=O)C4=C(C3=CC=C(C2=CC=C(C1=CC=C(S1)[*])S2)S3)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C4=C5C6=CC=C(S6)[*])(CCCCCCCCCCCC)CCCCCCCCCC,15.4
C(CCCCCCCCCC)(CN3C(=O)C2=C(C1=CC=C(S1)[*])N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C2=C3C7=CC=C(C6=CC=C(C5=CC=C(C4=CC=C(S4)[*])S5)S6)S7)CCCCCCCCCCCC,19.0
C(CCCCCCCCCC)(CN5C(=O)C4=C(C3=CC=C(C2=CC1=C(C=C(S1)[*])S2)S3)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C(=O)C4=C5C6=CC=C(S6)[*])CCCCCCCCCCCC,3.15
