Smiles,TmValue
*/C(=C(/CC*)\C)/C,259.5
*/C(=C(/CC*)\Cl)/Cl,300.0
*/C(=C(\CC*)/C)/C,193.5
*/C(=C/C(C*)C)/C,195.8
*/C(=C/CC*)/C,70.04102564102564
*/C(=C/CC*)/Cl,71.92857142857143
*/C(=C\CC*)/C,47.79444444444445
*/C(=C\CC*)/C(C)(C)C,104.5
*/C(=C\CC*)/Cl,70.0
*/C=C/C(C(*)(C)C)(C)C,264.0
*/C=C/C(C*)C,93.78571428571429
*/C=C/C(C*)C(CC)C,172.5
*/C=C/C(C*)OC,118.0
*/C=C/CC*,118.09814814814816
*/C=C/CCC*,23.400000000000002
*/C=C/CCCCC*,51.0
*/C=C/CCCCCCCCCC*,80.0
*/C=C\C(C*)C,48.375
*/C=C\CC*,-5.154166666666664
*/C=C\CCC*,-41.0
*=C=C=C(C(=*)CCCCOC(=O)NCC)CCCCOC(=O)NCC,209.85
*=C=C=C(C(=*)COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,102.25
*=NC1C(C1)N=C=*,270.0
*=Nc1c(cc(cc1)c1cc(c(cc1)N=C=*)OC)OC,200.0
*=Nc1c2c(ccc1)c(ccc2)NC=*,380.0
*=Nc1cc(ccc1)NC=*,255.0
*=Nc1ccc(cc1)C(=O)c1ccc(cc1)NC=*,380.0
*=Nc1ccc(cc1)CCc1ccc(cc1)NC=*,265.0
*=Nc1ccc(cc1)Cc1ccc(cc1)N=C=*,143.0
*=Nc1ccc(cc1)Cc1ccc(cc1)NC(=*)C,205.0
*=Nc1ccc(cc1)Cc1ccc(cc1)NC=*,318.25
*=Nc1ccc(cc1)N=Cc1c(cc(c(c1)OCCCCCCCCCCCCCC)C=*)OCCCCCCCCCCCCCC,260.0
*=Nc1ccc(cc1)N=Cc1c(cc(c(c1)OCCCCCCCCCCCCCCCC)C=*)OCCCCCCCCCCCCCCCC,270.0
*=Nc1ccc(cc1)NC=*,380.0
*=Nc1ccc(cc1)c1ccc(cc1)NC=*,380.0
*C#C/C=C/*,300.0
*C#CC(=C(*)CCCCOC(=O)NC)CCCCOC(=O)NC,201.85
*C#CC(=C(*)CCCCOC(=O)NCCC)CCCCOC(=O)NCCC,230.85
*C#CC(=C(*)CCCCOC(=O)NCCCC)CCCCOC(=O)NCCCC,229.85
*C#CC(=C(*)CCCCOC(=O)NCCCCC)CCCCOC(=O)NCCCCC,196.85
*C#CC(=C(*)CCCCOC(=O)NCCCCCC)CCCCOC(=O)NCCCCCC,207.85
*C#CC(=C(*)CCCCOC(=O)NCCCCCCC)CCCCOC(=O)NCCCCCCC,189.85
*C#CC(=C(*)CCCCOC(=O)NCCCCCCCC)CCCCOC(=O)NCCCCCCCC,186.85
*C#CC(=C(*)CCCCOC(=O)NCCCCCCCCC)CCCCOC(=O)NCCCCCCCCC,189.85
*C#CC(=C(*)CCCCOC(=O)NCCCCCCCCCC)CCCCOC(=O)NCCCCCCCCCC,179.85000000000002
*C#Cc1cc(ccc1)Oc1nc(nc(n1)Oc1ccc(cc1)*)Oc1ccc(cc1)*,240.0
*C(*)(F)F,326.9374846153846
*C(*)C,145.0
*C(*)CC,88.0
*C(=C(F)F)C(*)(F)F,125.5
*C(=C)C*,104.66666666666667
*C(=C*)C#N,400.0
*C(=C*)CCCOc1ccc(cc1)C1CCC(CC1)CCC,70.0
*C(=C*)CCCOc1ccc(cc1)C1CCC(CC1)CCCCC,100.0
*C(=C*)CCCOc1ccc(cc1)C1CCC(CC1)CCCCCCCC,87.0
*C(=C*)CCCOc1ccc(cc1)c1ccc(cc1)CCCCC,132.0
*C(=C*)CO,400.0
*C(=C*)OCCCC,400.0
*C(=C*)c1c(ccc(c1)C(=O)Oc1ccc(cc1)OCCCCCC)C(=O)Oc1ccc(cc1)OCCCCCC,194.0
*C(=C*)c1ccc(cc1)C(=O)c1ccc(cc1)[N+](=O)[O-],300.0
*C(=C*)c1ccc(cc1)S(=O)(=O)c1ccccc1,262.5
*C(=C*)c1ccccc1,189.78571428571428
*C(=C*)c1nc2c(n1C)cccc2,280.0
*C(=CC(C*)C)C,170.0
*C(=CCC*)C(C)(C)C,106.0
*C(=CCC*)CCC,42.0
*C(=CCC*)Cl,62.578947368421055
*C(=O)CC*,247.38636363636363
*C(=O)CCCCCCCCCCOc1ccc(cc1)c1c2nsnc2c(cc1)c1ccc(cc1)OCCCCCCCCCCC(=O)OCC(CO*)(CO*)C,91.2
*C(C(*)(F)F)(C(F)(F)F)F,124.5
*C(C(*)(F)F)(Cl)F,204.9609375
*C(C(*)(F)F)([2H])[2H],178.0
*C(C(*)(F)F)F,196.4888888888889
*C(C(*)O)C,140.0
*C(C(*)OC(C)(C)C)C,250.0
*C(C(*)OC(C)C)C,207.5
*C(C(*)OC)C,222.33333333333334
*C(C(*)OCC)C,209.33333333333334
*C(C(*)OCCC)C,168.0
*C(C(*)OCCCC)C,100.0
*C(C(*)OCCCC)Cl,200.0
*C(C(*)c1ccccc1)[N+](=O)[O-],285.0
*C(C(=O)*)(C)C,250.0
*C(C(=O)C*)C,235.25
*C(C(=O)C*)c1ccccc1,267.6166666666667
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,350.0
*C(C(CC*)(C)C)(C)C,185.0
*C(C(CC*)(F)F)(Cl)F,241.0
*C(C(CC*)(F)F)(F)F,270.6
*C(C(CC*)C)C,132.5
*C(C(CCC*)Cl)Cl,125.0
*C(C(CCCCC*)Cl)Cl,53.0
*C(C(CCCCCCCC*)Cl)Cl,47.0
*C(C(CCCCCCCCCC*)Cl)Cl,40.0
*C(C*)(C(=O)C)C,227.5
*C(C*)(C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O)C,71.2
*C(C*)(C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC)C,58.1
*C(C*)(C(=O)OC(C)(C)C)C,138.33333333333334
*C(C*)(C(=O)OC)C,155.4744827586207
*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,198.85
*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,195.85
*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,184.85
*C(C*)(C(=O)OCC(C(C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,158.85000000000002
*C(C*)(C(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,180.85
