Smiles,Dielec
*C(C*)CC(C)C,3.4
*C(C*)C1CCCCC1,2.265
*/C=C/CC*,2.15
*C1CC(CC1)C=C*,2.543333333
*C(C*)c1ccccc1,2.965128319
*C(C*)c1cc(ccc1)Cl,2.85
*C(C*)c1ccc(cc1)C,2.650166667
*C(C*)c1ccc(cc1)Cl,2.690466667
*C(C*)c1ccc(cc1)OC,3.65
*C(C*)c1ccc(cc1)OCCCC,3.62
*C(C*)c1ccc(cc1)Oc1ccccc1,2.93
*C(C*)c1c(c(c(c(c1F)F)F)F)F,2.034416667
*C(C(*)(F)F)(c1ccccc1)F,2.555
*C(C*)c1cc2c(cc1)cccc2,2.8725
*C(C*)c1ccncc1,3.685
*C(C*)c1ccc(cc1)O,4.65
*C(C*)C#N,3.116666667
*C(C*)OC(=O)C,4.433166667
*C=CC(C(*)C(=O)OC)C,3.5
*C(C*)N1C(=O)CCC1,3.141666667
*C(C*)C(=O)OC(C)C,4.55
*C(C*)C(=O)OC(C(F)(F)F)C(F)(F)F,3.25
*C(C*)(C(=O)OC)C,3.803730293
*C(C*)(C(=O)OCC)C,3.57375
*C(C*)(C(=O)OCCC)C,3
*C(C*)(C(=O)OCCCC)C,4.573333333
*C(C*)(C(=O)OCCCCCCCC)C,2.73
*C(C*)(C(=O)OCCCCCCCCCCCC)C,3.01
*C(C*)(C(=O)OC1CCCCC1)C,2.6825
*C(C*)(C(=O)OCc1ccccc1)C,3.027
*C(C*)(C(=O)OCCCl)C,3.25
*C(C*)(C(=O)OCC(F)(F)F)C,3.2
*C(C*)(C(=O)OCc1c(cccc1)Cl)C,3.43
*C(C*)(C(=O)OC)Cl,3.75
*C(C*)C(=O)NCCCCCCCCCCCC,4.1
*C(C*)(C(=O)OCCC(CC(C)(C)C)C)C,2.535
*C(C*)(C(=O)OCC[N+](=O)[O-])C,4.8
*C(C*)(C(=O)OCCO[N+](=O)[O-])C,4.7
*C(C*)(CC(=O)OCC)C(=O)OCC,4.2
*C(C*)(CC(=O)OCCCC)C(=O)OCCCC,4.2
*C(C*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,2.2
*C(C*)(C(=O)OC1CCC(CC1)C(C)(C)C)C,4
*C(C*)(CC(=O)OC)C(=O)OC,5.3
*C(C*)(CC(=O)OCCC)C(=O)OCCC,4.5
*C(C*)(C(=O)OCC)C#N,4.04
*C(C*)(C(=O)OCC1OC1)C,4.9
*C(C*)(C(=O)Oc1ccc(cc1)[N+](=O)[O-])C,2.8
*C(C*)Cl,3.585555556
*C(C(*)(F)F)(Cl)F,2.595944444
*C(C(CC*)(F)F)(F)F,2.63
*/C(=C\CC*)/Cl,3.565
*C(=CCC*)C,2.695
*OCC*,4.17375
*OC(C*)C,5.32
*OC(C*)CC,3.989166667
*OC(C*)COCCCC,4.773333333
*OCCC*,3.4
*OCCCC*,2.866666667
*Oc1c(cc(cc1C)*)C,2.8115
*OC1C(C(C1(C)C)*)(C)C,2.7
*OCOCC1CCC(CC1)C*,2.2836
*OCC(=O)NCCCCCCNC(=O)C*,2.766666667
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,2.644
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C)C,3.387605
*OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)OCC*)(CC)C,3.2
*Oc1ccc(cc1)C(c1ccc(cc1)OCC(C*)O)(C)C,3.4
*C1OCOC(C1)C*,3.1
*C1OC(OC(C1)C*)CCC,3.626
*Oc1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,3.39
